red,green,blue,hue,saturation,value,pixels_total,pixels_counted,pixels_pcnt,path
227,201,190,0.04954954954954954,0.16299559471365638,227,291600,55623,19.1,assets/jpg/Bones/Slide32.jpg
211,192,183,0.05357142857142857,0.13270142180094788,211,291600,65048,22.3,assets/jpg/Bones/Slide17.jpg
177,173,171,0.05555555555555556,0.03389830508474576,177,291600,36029,12.4,assets/jpg/Bones/Slide36.jpg
226,216,210,0.0625,0.07079646017699115,226,291600,77230,26.5,assets/jpg/Bones/Slide30.jpg
217,200,189,0.06547619047619048,0.12903225806451613,217,291600,59935,20.6,assets/jpg/Bones/Slide18.jpg
224,212,201,0.07971014492753624,0.10267857142857142,224,291600,68366,23.4,assets/jpg/Bones/Slide29.jpg
226,214,202,0.08333333333333333,0.10619469026548672,226,291600,68001,23.3,assets/jpg/Bones/Slide28.jpg
205,202,199,0.08333333333333333,0.02926829268292683,205,291600,93565,32.1,assets/jpg/Bones/Slide31.jpg
222,212,202,0.08333333333333333,0.09009009009009009,222,291600,72757,25.0,assets/jpg/Bones/Slide33.jpg
202,173,143,0.0847457627118644,0.29207920792079206,202,291600,59101,20.3,assets/jpg/Bones/Slide15.jpg
221,205,185,0.0925925925925926,0.16289592760180996,221,291600,79883,27.4,assets/jpg/Bones/Slide27.jpg
201,182,145,0.11011904761904762,0.27860696517412936,201,291600,57029,19.6,assets/jpg/Bones/Slide14.jpg
204,193,170,0.11274509803921569,0.16666666666666666,204,291600,49321,16.9,assets/jpg/Bones/Slide07.jpg
238,222,180,0.1206896551724138,0.24369747899159663,238,291600,80324,27.5,assets/jpg/Bones/Slide05.jpg
204,197,178,0.1217948717948718,0.12745098039215685,204,291600,68305,23.4,assets/jpg/Bones/Slide03.jpg
198,193,179,0.12280701754385966,0.09595959595959595,198,291600,45210,15.5,assets/jpg/Bones/Slide01.jpg
199,194,180,0.12280701754385966,0.09547738693467336,199,291600,35512,12.2,assets/jpg/Bones/Slide02.jpg
226,217,189,0.12612612612612614,0.16371681415929204,226,291600,49596,17.0,assets/jpg/Bones/Slide08.jpg
220,213,191,0.1264367816091954,0.1318181818181818,220,291600,33521,11.5,assets/jpg/Bones/Slide11.jpg
232,221,186,0.12681159420289856,0.19827586206896552,232,291600,59047,20.2,assets/jpg/Bones/Slide10.jpg
234,224,192,0.12698412698412698,0.1794871794871795,234,291600,80210,27.5,assets/jpg/Bones/Slide09.jpg
207,200,177,0.12777777777777777,0.14492753623188406,207,291600,41885,14.4,assets/jpg/Bones/Slide06.jpg
209,205,190,0.13157894736842105,0.09090909090909091,209,291600,63973,21.9,assets/jpg/Bones/Slide04.jpg
227,221,196,0.13440860215053763,0.13656387665198239,227,291600,27387,9.4,assets/jpg/Bones/Slide12.jpg
220,217,204,0.13541666666666666,0.07272727272727272,220,291600,77486,26.6,assets/jpg/Bones/Slide34.jpg
202,194,159,0.13565891472868216,0.21287128712871287,202,291600,52331,17.9,assets/jpg/Bones/Slide13.jpg
213,206,168,0.14074074074074075,0.2112676056338028,213,291600,52536,18.0,assets/jpg/Bones/Slide16.jpg
219,220,200,0.17499999999999996,0.09090909090909091,220,291600,57071,19.6,assets/jpg/Bones/Slide20.jpg
208,222,226,0.5370370370370371,0.07964601769911504,226,291600,88240,30.3,assets/jpg/Bones/Slide24.jpg
213,225,229,0.5416666666666666,0.06986899563318777,229,291600,52347,18.0,assets/jpg/Bones/Slide26.jpg
209,222,227,0.5462962962962963,0.07929515418502203,227,291600,67344,23.1,assets/jpg/Bones/Slide22.jpg
208,221,226,0.5462962962962963,0.07964601769911504,226,291600,89780,30.8,assets/jpg/Bones/Slide23.jpg
209,222,227,0.5462962962962963,0.07929515418502203,227,291600,61651,21.1,assets/jpg/Bones/Slide25.jpg
206,221,227,0.5476190476190476,0.09251101321585903,227,291600,72692,24.9,assets/jpg/Bones/Slide21.jpg
182,182,183,0.6666666666666666,0.00546448087431694,183,291600,46847,16.1,assets/jpg/Bones/Slide35.jpg
191,169,173,0.9696969696969697,0.11518324607329843,191,291600,66152,22.7,assets/jpg/Bones/Slide19.jpg
